"Campaign name","Campaign ID",Placement,Platform,"Delivery status","Delivery level",Reach,Impressions,Frequency,"Attribution setting","Result type",Results,"Amount spent (INR)","Cost per result",Starts,Ends,"Link clicks","CPC (cost per link click)","CPM (cost per 1,000 impressions)","CTR (all)","Messaging conversations replied","Messaging conversations started","Unique CTR (all)","Cost per lead",Leads,"Leads conversion value","Ad delivery","Ad set delivery","Campaign delivery","Result rate","Cost per messaging conversation started","Reporting starts","Reporting ends"
"FB Distance - 09/06/2026",6953152263197,Feed,instagram,inactive,campaign,26847,33133,1.23414162,"7-day click or 1-day view","Messaging conversations started",8,1396.73,174.59125,,,84,16.6277381,42.15525307,0.38028552,,8,,,,,,,inactive,0.02414511,174.59125,2023-07-20,2026-08-19
"Punjabi University",6642089283597,Feed,facebook,inactive,campaign,13600,26889,1.97713235,"7-day click or 1-day view","Messaging conversations started",55,1345.09,24.45618182,,,190,7.07942105,50.02380155,1.69957975,,55,,,,,,,inactive,0.20454461,24.45618182,2023-07-20,2026-08-19
"MBA - Degreecraft",6830713058997,"Instagram Reels",instagram,inactive,campaign,34417,46148,1.340849,"7-day click or 1-day view","Messaging conversations started",6,1275.00395797,212.50065966,,,146,8.73290382,27.62858538,0.42038658,,6,,,,,,,inactive,0.01300165,212.50065966,2023-07-20,2026-08-19
DegreeCraft,6769014077597,Feed,facebook,inactive,campaign,6040,8436,1.39668874,"7-day click or 1-day view","Messaging conversations started",14,1236.28,88.30571429,,,60,20.60466667,146.54812707,1.31578947,,14,,,,,,,inactive,0.16595543,88.30571429,2023-07-20,2026-08-19
"FB Ads - 14/06/2026",6959678385397,Feed,facebook,inactive,campaign,16960,24384,1.43773585,"7-day click or 1-day view","Messaging conversations started",9,1236.06798986,137.34088776,,,93,13.29105365,50.69176468,0.84891732,,9,,,,,,,inactive,0.03690945,137.34088776,2023-07-20,2026-08-19
DegreeCraft,6769014077597,"Instagram Reels",instagram,inactive,campaign,11672,16147,1.38339616,"7-day click or 1-day view","Messaging conversations started",13,1231.47,94.72846154,,,29,42.46448276,76.26617948,0.34681365,,13,,,,,,,inactive,0.08051031,94.72846154,2023-07-20,2026-08-19
"JGND - Punjab - MAY 2025",6699157867197,Feed,facebook,inactive,campaign,11856,17037,1.43699393,"7-day click or 1-day view","Messaging conversations started",29,1231.14,42.45310345,,,160,7.694625,72.26272231,1.7315255,,29,,,,,,,inactive,0.17021776,42.45310345,2023-07-20,2026-08-19
"CU Oonline - MAY 2025",6699345212397,Feed,instagram,inactive,campaign,15248,18794,1.23255509,"7-day click or 1-day view","Messaging conversations started",10,1212.20430933,121.22043093,,,90,13.46893677,64.49953758,0.62785996,,10,,,,,,,inactive,0.05320847,121.22043093,2023-07-20,2026-08-19
"MBA - Degreecraft",6830713058997,Feed,instagram,inactive,campaign,7664,10914,1.42406054,"7-day click or 1-day view","Messaging conversations started",5,1154.62980786,230.92596157,,,52,22.20441938,105.79345866,0.55891515,,5,,,,,,,inactive,0.04581272,230.92596157,2023-07-20,2026-08-19
"Punjabi University",6642089283597,"Instagram Stories",instagram,inactive,campaign,25568,45279,1.77092459,"7-day click or 1-day view","Messaging conversations started",29,1091.48,37.63724138,,,101,10.80673267,24.10565604,0.49471057,,29,,,,,,,inactive,0.06404735,37.63724138,2023-07-20,2026-08-19
"LPU Distance Education Patiala",6668282295797,Feed,facebook,inactive,campaign,14528,23804,1.63849119,"7-day click or 1-day view","Messaging conversations started",8,1066.21256999,133.27657125,,,89,11.97991652,44.79131953,0.77297933,,8,,,,,,,inactive,0.0336078,133.27657125,2023-07-20,2026-08-19
"SK-LPU-MAY 2025",6699121217397,"Instagram Stories",instagram,inactive,campaign,25664,36460,1.42066708,"7-day click or 1-day view","Messaging conversations started",10,962.57,96.257,,,136,7.07772059,26.40071311,0.40043884,,10,,,,,,,inactive,0.02742732,96.257,2023-07-20,2026-08-19
"LPU Online – 20/25",6723531168997,"Facebook Reels",facebook,inactive,campaign,8928,15403,1.72524642,"7-day click or 1-day view","Messaging conversations started",8,950.51833386,118.81479173,,,31,30.66188174,61.70994831,0.37655002,,8,,,,,,,inactive,0.05193793,118.81479173,2023-07-20,2026-08-19
Skies,6832539425197,"Instagram Reels",instagram,inactive,campaign,4182,6755,1.61525586,"7-day click or 1-day view","Messaging conversations started",5,937.15913338,187.43182668,,,32,29.28622292,138.735623,0.65136936,,5,,,,,,,inactive,0.07401925,187.43182668,2023-07-20,2026-08-19
"FB Online Ads - 13/05/2026",6924458397597,Feed,instagram,inactive,campaign,7416,10160,1.37001079,"7-day click or 1-day view","Messaging conversations started",2,925.15748587,462.57874293,,,53,17.45580162,91.05880766,0.61023622,,2,,,,,,,inactive,0.01968504,462.57874293,2023-07-20,2026-08-19
"LPU Patiala 19/04/2025",6675807605797,Feed,facebook,inactive,campaign,16714,23584,1.41103267,"7-day click or 1-day view","Messaging conversations started",17,923.23750819,54.30808872,,,121,7.63006205,39.14677358,0.93283582,,17,,,,,,,inactive,0.07208277,54.30808872,2023-07-20,2026-08-19
